ECU0: SWC0_CC, ECU0: SWC1
3460, ECU0: SWC0_CC, 0
3460, ECU0: SWC1, 1
3480, ECU0: SWC1, 0
3480, ECU0: SWC0_CC, 1
3500, ECU0: SWC0_CC, 0
3500, ECU0: SWC1, 1
3520, ECU0: SWC1, 0
3520, ECU0: SWC0_CC, 1
3540, ECU0: SWC0_CC, 0
3540, ECU0: SWC1, 1
3560, ECU0: SWC1, 0
3560, ECU0: SWC0_CC, 1
3580, ECU0: SWC0_CC, 0
3580, ECU0: SWC1, 1
3600, ECU0: SWC1, 0
3600, ECU0: SWC0_CC, 1
3620, ECU0: SWC0_CC, 0
3620, ECU0: SWC1, 1
3640, ECU0: SWC1, 0
3640, ECU0: SWC0_CC, 1
3660, ECU0: SWC0_CC, 0
3660, ECU0: SWC1, 1
3680, ECU0: SWC1, 0
3680, ECU0: SWC0_CC, 1
3700, ECU0: SWC0_CC, 0
3700, ECU0: SWC1, 1
3720, ECU0: SWC1, 0
3720, ECU0: SWC0_CC, 1
3740, ECU0: SWC0_CC, 0
3740, ECU0: SWC1, 1
3760, ECU0: SWC1, 0
3760, ECU0: SWC0_CC, 1
3780, ECU0: SWC0_CC, 0
3780, ECU0: SWC1, 1
3800, ECU0: SWC1, 0
3800, ECU0: SWC0_CC, 1
3820, ECU0: SWC0_CC, 0
3820, ECU0: SWC1, 1
3840, ECU0: SWC1, 0
3840, ECU0: SWC0_CC, 1
3860, ECU0: SWC0_CC, 0
3860, ECU0: SWC1, 1
3880, ECU0: SWC1, 0
3880, ECU0: SWC0_CC, 1
3900, ECU0: SWC0_CC, 0
3900, ECU0: SWC1, 1
3920, ECU0: SWC1, 0
3920, ECU0: SWC0_CC, 1
3940, ECU0: SWC0_CC, 0
3940, ECU0: SWC1, 1
3960, ECU0: SWC1, 0
3960, ECU0: SWC0_CC, 1
3980, ECU0: SWC0_CC, 0
3980, ECU0: SWC1, 1
4000, ECU0: SWC1, 0
4000, ECU0: SWC0_CC, 1
4020, ECU0: SWC0_CC, 0
4020, ECU0: SWC1, 1
4040, ECU0: SWC1, 0
4040, ECU0: SWC0_CC, 1
4060, ECU0: SWC0_CC, 0
4060, ECU0: SWC1, 1
4080, ECU0: SWC1, 0
4080, ECU0: SWC0_CC, 1
4100, ECU0: SWC0_CC, 0
4100, ECU0: SWC1, 1
4120, ECU0: SWC1, 0
4120, ECU0: SWC0_CC, 1
4140, ECU0: SWC0_CC, 0
4140, ECU0: SWC1, 1
4160, ECU0: SWC1, 0
4160, ECU0: SWC0_CC, 1
4180, ECU0: SWC0_CC, 0
4180, ECU0: SWC1, 1
4200, ECU0: SWC1, 0
4200, ECU0: SWC0_CC, 1
4220, ECU0: SWC0_CC, 0
4220, ECU0: SWC1, 1
4240, ECU0: SWC1, 0
4240, ECU0: SWC0_CC, 1
4260, ECU0: SWC0_CC, 0
4260, ECU0: SWC1, 1
4280, ECU0: SWC1, 0
4280, ECU0: SWC0_CC, 1
4300, ECU0: SWC0_CC, 0
4300, ECU0: SWC1, 1
4320, ECU0: SWC1, 0
4320, ECU0: SWC0_CC, 1
4340, ECU0: SWC0_CC, 0
4340, ECU0: SWC1, 1
4360, ECU0: SWC1, 0
4360, ECU0: SWC0_CC, 1
4380, ECU0: SWC0_CC, 0
4380, ECU0: SWC1, 1
4400, ECU0: SWC1, 0
4400, ECU0: SWC0_CC, 1
4420, ECU0: SWC0_CC, 0
4420, ECU0: SWC1, 1
4440, ECU0: SWC1, 0
4440, ECU0: SWC0_CC, 1
4460, ECU0: SWC0_CC, 0
4460, ECU0: SWC1, 1
4480, ECU0: SWC1, 0
4480, ECU0: SWC0_CC, 1
4500, ECU0: SWC0_CC, 0
4500, ECU0: SWC1, 1
4520, ECU0: SWC1, 0
4520, ECU0: SWC0_CC, 1
4540, ECU0: SWC0_CC, 0
4540, ECU0: SWC1, 1
4560, ECU0: SWC1, 0
4560, ECU0: SWC0_CC, 1
4580, ECU0: SWC0_CC, 0
4580, ECU0: SWC1, 1
4600, ECU0: SWC1, 0
4600, ECU0: SWC0_CC, 1
4620, ECU0: SWC0_CC, 0
4620, ECU0: SWC1, 1
4640, ECU0: SWC1, 0
4640, ECU0: SWC0_CC, 1
4660, ECU0: SWC0_CC, 0
4660, ECU0: SWC1, 1
4680, ECU0: SWC1, 0
4680, ECU0: SWC0_CC, 1
4700, ECU0: SWC0_CC, 0
4700, ECU0: SWC1, 1
4720, ECU0: SWC1, 0
4720, ECU0: SWC0_CC, 1
4740, ECU0: SWC0_CC, 0
4740, ECU0: SWC1, 1
4760, ECU0: SWC1, 0
4760, ECU0: SWC0_CC, 1
4780, ECU0: SWC0_CC, 0
4780, ECU0: SWC1, 1
4800, ECU0: SWC1, 0
4800, ECU0: SWC0_CC, 1
4820, ECU0: SWC0_CC, 0
4820, ECU0: SWC1, 1
4840, ECU0: SWC1, 0
4840, ECU0: SWC0_CC, 1
4860, ECU0: SWC0_CC, 0
4860, ECU0: SWC1, 1
4880, ECU0: SWC1, 0
4880, ECU0: SWC0_CC, 1
4900, ECU0: SWC0_CC, 0
4900, ECU0: SWC1, 1
4920, ECU0: SWC1, 0
4920, ECU0: SWC0_CC, 1
4940, ECU0: SWC0_CC, 0
4940, ECU0: SWC1, 1
4960, ECU0: SWC1, 0
4960, ECU0: SWC0_CC, 1
4980, ECU0: SWC0_CC, 0
4980, ECU0: SWC1, 1
5000, ECU0: SWC1, 0
5000, ECU0: SWC0_CC, 1
5020, ECU0: SWC0_CC, 0
5020, ECU0: SWC1, 1
5040, ECU0: SWC1, 0
5040, ECU0: SWC0_CC, 1
5060, ECU0: SWC0_CC, 0
5060, ECU0: SWC1, 1
5080, ECU0: SWC1, 0
5080, ECU0: SWC0_CC, 1
5100, ECU0: SWC0_CC, 0
5100, ECU0: SWC1, 1
5120, ECU0: SWC1, 0
5120, ECU0: SWC0_CC, 1
5140, ECU0: SWC0_CC, 0
5140, ECU0: SWC1, 1
5160, ECU0: SWC1, 0
5160, ECU0: SWC0_CC, 1
5180, ECU0: SWC0_CC, 0
5180, ECU0: SWC1, 1
5200, ECU0: SWC1, 0
5200, ECU0: SWC0_CC, 1
5220, ECU0: SWC0_CC, 0
5220, ECU0: SWC1, 1
5240, ECU0: SWC1, 0
5240, ECU0: SWC0_CC, 1
5260, ECU0: SWC0_CC, 0
5260, ECU0: SWC1, 1
5280, ECU0: SWC1, 0
5280, ECU0: SWC0_CC, 1
5300, ECU0: SWC0_CC, 0
5300, ECU0: SWC1, 1
5320, ECU0: SWC1, 0
5320, ECU0: SWC0_CC, 1
5340, ECU0: SWC0_CC, 0
5340, ECU0: SWC1, 1
5360, ECU0: SWC1, 0
5360, ECU0: SWC0_CC, 1
5380, ECU0: SWC0_CC, 0
5380, ECU0: SWC1, 1
5400, ECU0: SWC1, 0
5400, ECU0: SWC0_CC, 1
5420, ECU0: SWC0_CC, 0
5420, ECU0: SWC1, 1
5440, ECU0: SWC1, 0
5440, ECU0: SWC0_CC, 1
5460, ECU0: SWC0_CC, 0
5460, ECU0: SWC1, 1
5480, ECU0: SWC1, 0
5480, ECU0: SWC0_CC, 1
5500, ECU0: SWC0_CC, 0
5500, ECU0: SWC1, 1
5520, ECU0: SWC1, 0
5520, ECU0: SWC0_CC, 1
5540, ECU0: SWC0_CC, 0
5540, ECU0: SWC1, 1
5560, ECU0: SWC1, 0
5560, ECU0: SWC0_CC, 1
5580, ECU0: SWC0_CC, 0
5580, ECU0: SWC1, 1
5600, ECU0: SWC1, 0
5600, ECU0: SWC0_CC, 1
5620, ECU0: SWC0_CC, 0
5620, ECU0: SWC1, 1
5640, ECU0: SWC1, 0
5640, ECU0: SWC0_CC, 1
5660, ECU0: SWC0_CC, 0
5660, ECU0: SWC1, 1
5680, ECU0: SWC1, 0
5680, ECU0: SWC0_CC, 1
5700, ECU0: SWC0_CC, 0
5700, ECU0: SWC1, 1
5720, ECU0: SWC1, 0
5720, ECU0: SWC0_CC, 1
5740, ECU0: SWC0_CC, 0
5740, ECU0: SWC1, 1
5760, ECU0: SWC1, 0
5760, ECU0: SWC0_CC, 1
5780, ECU0: SWC0_CC, 0
5780, ECU0: SWC1, 1
5800, ECU0: SWC1, 0
5800, ECU0: SWC0_CC, 1
5820, ECU0: SWC0_CC, 0
5820, ECU0: SWC1, 1
5840, ECU0: SWC1, 0
5840, ECU0: SWC0_CC, 1
5860, ECU0: SWC0_CC, 0
5860, ECU0: SWC1, 1
5880, ECU0: SWC1, 0
5880, ECU0: SWC0_CC, 1
5900, ECU0: SWC0_CC, 0
5900, ECU0: SWC1, 1
5920, ECU0: SWC1, 0
5920, ECU0: SWC0_CC, 1
5940, ECU0: SWC0_CC, 0
5940, ECU0: SWC1, 1
5960, ECU0: SWC1, 0
5960, ECU0: SWC0_CC, 1
5980, ECU0: SWC0_CC, 0
5980, ECU0: SWC1, 1
6000, ECU0: SWC1, 0
6000, ECU0: SWC0_CC, 1
6020, ECU0: SWC0_CC, 0
6020, ECU0: SWC1, 1
6040, ECU0: SWC1, 0
6040, ECU0: SWC0_CC, 1
6060, ECU0: SWC0_CC, 0
6060, ECU0: SWC1, 1
6080, ECU0: SWC1, 0
6080, ECU0: SWC0_CC, 1
6100, ECU0: SWC0_CC, 0
6100, ECU0: SWC1, 1
6120, ECU0: SWC1, 0
6120, ECU0: SWC0_CC, 1
6140, ECU0: SWC0_CC, 0
6140, ECU0: SWC1, 1
6160, ECU0: SWC1, 0
6160, ECU0: SWC0_CC, 1
6180, ECU0: SWC0_CC, 0
6180, ECU0: SWC1, 1
6200, ECU0: SWC1, 0
6200, ECU0: SWC0_CC, 1
6220, ECU0: SWC0_CC, 0
6220, ECU0: SWC1, 1
6240, ECU0: SWC1, 0
6240, ECU0: SWC0_CC, 1
6260, ECU0: SWC0_CC, 0
6260, ECU0: SWC1, 1
6280, ECU0: SWC1, 0
6280, ECU0: SWC0_CC, 1
6300, ECU0: SWC0_CC, 0
6300, ECU0: SWC1, 1
6320, ECU0: SWC1, 0
6320, ECU0: SWC0_CC, 1
6340, ECU0: SWC0_CC, 0
6340, ECU0: SWC1, 1
6360, ECU0: SWC1, 0
6360, ECU0: SWC0_CC, 1
6380, ECU0: SWC0_CC, 0
6380, ECU0: SWC1, 1
6400, ECU0: SWC1, 0
6400, ECU0: SWC0_CC, 1
6420, ECU0: SWC0_CC, 0
6420, ECU0: SWC1, 1
6440, ECU0: SWC1, 0
6440, ECU0: SWC0_CC, 1
6460, ECU0: SWC0_CC, 0
6460, ECU0: SWC1, 1
6480, ECU0: SWC1, 0
6480, ECU0: SWC0_CC, 1
6500, ECU0: SWC0_CC, 0
6500, ECU0: SWC1, 1
6520, ECU0: SWC1, 0
6520, ECU0: SWC0_CC, 1
6540, ECU0: SWC0_CC, 0
6540, ECU0: SWC1, 1
6560, ECU0: SWC1, 0
6560, ECU0: SWC0_CC, 1
6580, ECU0: SWC0_CC, 0
6580, ECU0: SWC1, 1
6600, ECU0: SWC1, 0
6600, ECU0: SWC0_CC, 1
6620, ECU0: SWC0_CC, 0
6620, ECU0: SWC1, 1
6640, ECU0: SWC1, 0
6640, ECU0: SWC0_CC, 1
6660, ECU0: SWC0_CC, 0
6660, ECU0: SWC1, 1
6680, ECU0: SWC1, 0
6680, ECU0: SWC0_CC, 1
6700, ECU0: SWC0_CC, 0
6700, ECU0: SWC1, 1
6720, ECU0: SWC1, 0
6720, ECU0: SWC0_CC, 1
6740, ECU0: SWC0_CC, 0
6740, ECU0: SWC1, 1
6760, ECU0: SWC1, 0
6760, ECU0: SWC0_CC, 1
6780, ECU0: SWC0_CC, 0
6780, ECU0: SWC1, 1
6800, ECU0: SWC1, 0
6800, ECU0: SWC0_CC, 1
6820, ECU0: SWC0_CC, 0
6820, ECU0: SWC1, 1
6840, ECU0: SWC1, 0
6840, ECU0: SWC0_CC, 1
6860, ECU0: SWC0_CC, 0
6860, ECU0: SWC1, 1
6880, ECU0: SWC1, 0
6880, ECU0: SWC0_CC, 1
6900, ECU0: SWC0_CC, 0
6900, ECU0: SWC1, 1
6920, ECU0: SWC1, 0
6920, ECU0: SWC0_CC, 1
6940, ECU0: SWC0_CC, 0
6940, ECU0: SWC1, 1
6960, ECU0: SWC1, 0
6960, ECU0: SWC0_CC, 1
6980, ECU0: SWC0_CC, 0
6980, ECU0: SWC1, 1
7000, ECU0: SWC1, 0
7000, ECU0: SWC0_CC, 1
7020, ECU0: SWC0_CC, 0
7020, ECU0: SWC1, 1
7040, ECU0: SWC1, 0
7040, ECU0: SWC0_CC, 1
7060, ECU0: SWC0_CC, 0
7060, ECU0: SWC1, 1
7080, ECU0: SWC1, 0
7080, ECU0: SWC0_CC, 1
7100, ECU0: SWC0_CC, 0
7100, ECU0: SWC1, 1
7120, ECU0: SWC1, 0
7120, ECU0: SWC0_CC, 1
7140, ECU0: SWC0_CC, 0
7140, ECU0: SWC1, 1
7160, ECU0: SWC1, 0
7160, ECU0: SWC0_CC, 1
7180, ECU0: SWC0_CC, 0
7180, ECU0: SWC1, 1
7200, ECU0: SWC1, 0
7200, ECU0: SWC0_CC, 1
7220, ECU0: SWC0_CC, 0
